id,strategy,year,sharpe_net_5bps,n_days
r1_rev_1d,ls_top4_bot4_weekly,2019,-1.2699438354854056,242
r1_rev_1d,ls_top4_bot4_weekly,2020,0.20720042794843124,243
r1_rev_1d,ls_top4_bot4_weekly,2021,-0.3504308334806751,243
r1_rev_1d,ls_top4_bot4_weekly,2022,-0.4971857080709134,242
r1_rev_1d,ls_top4_bot4_weekly,2023,-2.4329319665523332,242
r1_rev_1d,ls_top4_bot4_weekly,2024,-0.20741175570162124,242
r1_rev_1d,ls_top4_bot4_weekly,2025,-1.4495368235301889,243
r1_rev_1d,ls_top4_bot4_weekly,2026,-1.3655807988271333,71
r1_rev_1d,ls_top4_bot4_monthly,2019,-1.5736513522860631,242
r1_rev_1d,ls_top4_bot4_monthly,2020,1.117404369136584,243
r1_rev_1d,ls_top4_bot4_monthly,2021,-2.0970099261215465,243
r1_rev_1d,ls_top4_bot4_monthly,2022,-1.5239501274469092,242
r1_rev_1d,ls_top4_bot4_monthly,2023,-0.6803554268713643,242
r1_rev_1d,ls_top4_bot4_monthly,2024,0.14719380708504262,242
r1_rev_1d,ls_top4_bot4_monthly,2025,1.4691893543808292,243
r1_rev_1d,ls_top4_bot4_monthly,2026,-1.3919075424940688,71
r1_rev_1d,longonly_top3_weekly,2019,1.4518604861812168,242
r1_rev_1d,longonly_top3_weekly,2020,1.8219186618797223,243
r1_rev_1d,longonly_top3_weekly,2021,0.25909515142514083,243
r1_rev_1d,longonly_top3_weekly,2022,-0.2560675747117696,242
r1_rev_1d,longonly_top3_weekly,2023,-1.4826337024717624,242
r1_rev_1d,longonly_top3_weekly,2024,-0.39717434671823737,242
r1_rev_1d,longonly_top3_weekly,2025,0.3098724035808141,243
r1_rev_1d,longonly_top3_weekly,2026,-0.001158786318472994,71
r1_rev_1d,longonly_top3_monthly,2019,1.141951385925795,242
r1_rev_1d,longonly_top3_monthly,2020,1.9871587491125193,243
r1_rev_1d,longonly_top3_monthly,2021,-0.918720694370501,243
r1_rev_1d,longonly_top3_monthly,2022,-1.4660803756786167,242
r1_rev_1d,longonly_top3_monthly,2023,-0.6855886892142098,242
r1_rev_1d,longonly_top3_monthly,2024,-0.027103443362503612,242
r1_rev_1d,longonly_top3_monthly,2025,1.8998158541035979,243
r1_rev_1d,longonly_top3_monthly,2026,0.25972704989904616,71
r1_rev_5d,ls_top4_bot4_weekly,2019,-1.6310104118420778,242
r1_rev_5d,ls_top4_bot4_weekly,2020,-0.6485382510256683,243
r1_rev_5d,ls_top4_bot4_weekly,2021,-0.8151010199588403,243
r1_rev_5d,ls_top4_bot4_weekly,2022,0.009611450254253659,242
r1_rev_5d,ls_top4_bot4_weekly,2023,-0.9879269910432468,242
r1_rev_5d,ls_top4_bot4_weekly,2024,-0.26005797542779985,242
r1_rev_5d,ls_top4_bot4_weekly,2025,-1.2271716776088233,243
r1_rev_5d,ls_top4_bot4_weekly,2026,-0.06990696754428895,71
r1_rev_5d,ls_top4_bot4_monthly,2019,0.17600441452642435,242
r1_rev_5d,ls_top4_bot4_monthly,2020,0.9728633772047379,243
r1_rev_5d,ls_top4_bot4_monthly,2021,-1.6447274735027335,243
r1_rev_5d,ls_top4_bot4_monthly,2022,-0.785501284329535,242
r1_rev_5d,ls_top4_bot4_monthly,2023,-0.133017426217972,242
r1_rev_5d,ls_top4_bot4_monthly,2024,-0.05701597739979012,242
r1_rev_5d,ls_top4_bot4_monthly,2025,-0.9792652219181779,243
r1_rev_5d,ls_top4_bot4_monthly,2026,-0.5424956443881561,71
r1_rev_5d,longonly_top3_weekly,2019,1.5688722436882223,242
r1_rev_5d,longonly_top3_weekly,2020,1.300336232833385,243
r1_rev_5d,longonly_top3_weekly,2021,0.004153184009615516,243
r1_rev_5d,longonly_top3_weekly,2022,-0.8420387161377282,242
r1_rev_5d,longonly_top3_weekly,2023,-1.0822337426021795,242
r1_rev_5d,longonly_top3_weekly,2024,0.046552868766701776,242
r1_rev_5d,longonly_top3_weekly,2025,0.23840033407758976,243
r1_rev_5d,longonly_top3_weekly,2026,0.7429663903202045,71
r1_rev_5d,longonly_top3_monthly,2019,1.487244144913528,242
r1_rev_5d,longonly_top3_monthly,2020,1.3784724353262265,243
r1_rev_5d,longonly_top3_monthly,2021,-1.032024848726128,243
r1_rev_5d,longonly_top3_monthly,2022,-0.7696682553134444,242
r1_rev_5d,longonly_top3_monthly,2023,-0.5153171946244994,242
r1_rev_5d,longonly_top3_monthly,2024,0.5417661902235926,242
r1_rev_5d,longonly_top3_monthly,2025,0.44582512213397346,243
r1_rev_5d,longonly_top3_monthly,2026,0.7057320193904681,71
r1_rev_20d,ls_top4_bot4_weekly,2019,-0.35359526343269276,242
r1_rev_20d,ls_top4_bot4_weekly,2020,-0.619793060535837,243
r1_rev_20d,ls_top4_bot4_weekly,2021,-0.39879893871675604,243
r1_rev_20d,ls_top4_bot4_weekly,2022,-0.1528158511628262,242
r1_rev_20d,ls_top4_bot4_weekly,2023,-0.7895844113362305,242
r1_rev_20d,ls_top4_bot4_weekly,2024,0.19832615998675043,242
r1_rev_20d,ls_top4_bot4_weekly,2025,-1.5613814149068745,243
r1_rev_20d,ls_top4_bot4_weekly,2026,-0.18796013607974893,71
r1_rev_20d,ls_top4_bot4_monthly,2019,1.4092830307513848,242
r1_rev_20d,ls_top4_bot4_monthly,2020,0.7807835476115755,243
r1_rev_20d,ls_top4_bot4_monthly,2021,-0.6701883909679538,243
r1_rev_20d,ls_top4_bot4_monthly,2022,0.7088816960681577,242
r1_rev_20d,ls_top4_bot4_monthly,2023,-0.6121130012768442,242
r1_rev_20d,ls_top4_bot4_monthly,2024,0.3214523414204214,242
r1_rev_20d,ls_top4_bot4_monthly,2025,-1.0371234232691922,243
r1_rev_20d,ls_top4_bot4_monthly,2026,-1.0729196360894095,71
r1_rev_20d,longonly_top3_weekly,2019,1.8057780262949144,242
r1_rev_20d,longonly_top3_weekly,2020,0.9619262625973093,243
r1_rev_20d,longonly_top3_weekly,2021,-0.21180412928836356,243
r1_rev_20d,longonly_top3_weekly,2022,-0.5322731031515433,242
r1_rev_20d,longonly_top3_weekly,2023,-0.13922237268375826,242
r1_rev_20d,longonly_top3_weekly,2024,0.5055768865491583,242
r1_rev_20d,longonly_top3_weekly,2025,0.9380862104993615,243
r1_rev_20d,longonly_top3_weekly,2026,0.2793255448681705,71
r1_rev_20d,longonly_top3_monthly,2019,2.3723787966479053,242
r1_rev_20d,longonly_top3_monthly,2020,1.709046052523896,243
r1_rev_20d,longonly_top3_monthly,2021,0.023956642784486205,243
r1_rev_20d,longonly_top3_monthly,2022,0.022826890318509464,242
r1_rev_20d,longonly_top3_monthly,2023,-0.6401325002772624,242
r1_rev_20d,longonly_top3_monthly,2024,0.0742450263057288,242
r1_rev_20d,longonly_top3_monthly,2025,1.1798481976136466,243
r1_rev_20d,longonly_top3_monthly,2026,-0.2215515156670722,71
r1_rev_40d,ls_top4_bot4_weekly,2019,-0.10197900994630484,242
r1_rev_40d,ls_top4_bot4_weekly,2020,-0.5652435616858648,243
r1_rev_40d,ls_top4_bot4_weekly,2021,0.13375413683782875,243
r1_rev_40d,ls_top4_bot4_weekly,2022,0.42909089880501267,242
r1_rev_40d,ls_top4_bot4_weekly,2023,-0.21726207989650675,242
r1_rev_40d,ls_top4_bot4_weekly,2024,0.3859341954392028,242
r1_rev_40d,ls_top4_bot4_weekly,2025,-0.6688491003049745,243
r1_rev_40d,ls_top4_bot4_weekly,2026,-0.735905771285997,71
r1_rev_40d,ls_top4_bot4_monthly,2019,1.302751362974751,242
r1_rev_40d,ls_top4_bot4_monthly,2020,-0.543615297475846,243
r1_rev_40d,ls_top4_bot4_monthly,2021,-0.03218842239205738,243
r1_rev_40d,ls_top4_bot4_monthly,2022,0.5996826071082457,242
r1_rev_40d,ls_top4_bot4_monthly,2023,-0.8767406946534501,242
r1_rev_40d,ls_top4_bot4_monthly,2024,0.9118305308366682,242
r1_rev_40d,ls_top4_bot4_monthly,2025,-0.528699426514792,243
r1_rev_40d,ls_top4_bot4_monthly,2026,0.17001727131359526,71
r1_rev_40d,longonly_top3_weekly,2019,1.7926866395364824,242
r1_rev_40d,longonly_top3_weekly,2020,1.2987636331186796,243
r1_rev_40d,longonly_top3_weekly,2021,0.13602559365062936,243
