,baseline_k40_monthly,D1_regime_breadth,D1b_regime_mom200,D2_ensemble_k40_k80,D3_stoploss_20dlow,D4_disp_gt_Q75,D5_breadth_and_disp
2019-01-04,0.9995,0.9995,1.0,0.9995,0.9995,1.0,1.0
2019-01-07,1.0128495265726023,1.0128495265726023,1.0,1.0164094911469834,1.0128495265726023,1.0,1.0
2019-01-08,1.0069958087172188,1.0069958087172188,1.0,1.0089320525329257,1.0069958087172188,1.0,1.0
2019-01-09,1.0130125038435787,1.0130125038435787,1.0,1.0144376498484295,1.0130125038435787,1.0,1.0
2019-01-10,1.00700098384887,1.00700098384887,1.0,1.0078147042590726,1.00700098384887,1.0,1.0
2019-01-11,1.0165149613867726,1.0165149613867726,1.0,1.0168254799218983,1.0165149613867726,1.0,1.0
2019-01-14,1.003038208289345,1.003038208289345,1.0,1.002780494244309,1.003038208289345,1.0,1.0
2019-01-15,1.0203119732131445,1.0203119732131445,1.0,1.020062663389139,1.0203119732131445,1.0,1.0
2019-01-16,1.0233150748794886,1.0233150748794886,1.0,1.0245161918779586,1.0233150748794886,1.0,1.0
2019-01-17,1.016261748654755,1.016261748654755,1.0,1.0163853888033947,1.016261748654755,1.0,1.0
2019-01-18,1.0354391955814315,1.0354391955814315,1.0,1.034180130549735,1.0354391955814315,1.0,1.0
2019-01-21,1.0380349273901597,1.0380349273901597,1.0,1.0361660854491808,1.0380349273901597,1.0,1.0
2019-01-22,1.023360105794831,1.023360105794831,1.0,1.0222452345539712,1.023360105794831,1.0,1.0
2019-01-23,1.0251120487324583,1.0251120487324583,1.0,1.022787254761723,1.0251120487324583,1.0,1.0
2019-01-24,1.034447074631247,1.034447074631247,1.0,1.031280707627789,1.034447074631247,1.0,1.0
2019-01-25,1.0379037201743624,1.0379037201743624,1.0,1.0329048579725437,1.0379037201743624,1.0,1.0
2019-01-28,1.0293997762075393,1.0293997762075393,1.0,1.0263233012182158,1.0293997762075393,1.0,1.0
2019-01-29,1.028473759865446,1.028473759865446,1.0,1.0227487391516437,1.028473759865446,1.0,1.0
2019-01-30,1.0247451142367041,1.0247451142367041,1.0,1.020452253545161,1.0247451142367041,1.0,1.0
2019-01-31,1.0294841212263757,1.0294841212263757,1.0,1.0230510223285953,1.029313330374003,1.0,1.0
2019-02-01,1.050324803325042,1.050324803325042,1.0,1.0449003661008784,1.0424263892579453,1.0,1.0
2019-02-11,1.070033867467966,1.070033867467966,1.0,1.0614728555433637,1.0619872417724443,1.0,1.0
2019-02-12,1.0841093061280576,1.0841093061280576,1.0,1.074969509293382,1.0759568335151237,1.0,1.0
2019-02-13,1.1035786868102646,1.1035786868102646,1.0,1.093567247269057,1.0952798049820374,1.0,1.0
2019-02-14,1.1050944784910002,1.1050944784910002,1.0,1.0935362196165455,1.0967841979503974,1.0,1.0
2019-02-15,1.088740071918174,1.088740071918174,1.0,1.077749441963934,1.0805527760719484,1.0,1.0
2019-02-18,1.12735219792675,1.12735219792675,1.0,1.1148073126101856,1.1188745399389648,1.0,1.0
2019-02-19,1.1347947259596476,1.1347947259596476,1.0,1.1201192247711507,1.1262611003626775,1.0,1.0
2019-02-20,1.1279525004394635,1.1279525004394635,1.0,1.1127081011361952,1.1194703281930454,1.0,1.0
2019-02-21,1.1144828075772184,1.1144828075772184,1.0,1.1011346331214535,1.1061019270562227,1.0,1.0
2019-02-22,1.1351884401774863,1.1351884401774863,1.0,1.1205175146472515,1.1266518538602641,1.0,1.0
2019-02-25,1.2021394786997048,1.2021394786997048,1.0,1.1851127512364146,1.193099422386538,1.0,1.0
2019-02-26,1.189586809215799,1.189586809215799,1.0,1.1720688064850715,1.180641148637092,1.0,1.0
2019-02-27,1.1942669984530674,1.1942669984530674,1.0,1.1788338869211399,1.1852861429780852,1.0,1.0
2019-02-28,1.2017536959594068,1.2017536959594068,1.0,1.1848589003427858,1.192716540721996,1.0,1.0
2019-03-01,1.2076702343067642,1.2076702343067642,1.0,1.196938617135303,1.1985885868612638,1.0,1.0
2019-03-04,1.2360584622823532,1.2360584622823532,1.0,1.2179107220429302,1.2267633361315298,1.0,1.0
2019-03-05,1.2525705598246664,1.2525705598246664,1.0,1.2296842104463002,1.2431512631476471,1.0,1.0
2019-03-06,1.2589100364987944,1.2589100364987944,1.0,1.2361379138749446,1.2494430671289256,1.0,1.0
2019-03-07,1.2436337227994212,1.2436337227994212,1.0,1.2195343835064596,1.2342816308947275,1.0,1.0
2019-03-08,1.2048004774910615,1.2048004774910615,1.0,1.1831554997806633,1.1957404105390714,1.0,1.0
2019-03-11,1.2142492141634742,1.2142492141634742,1.0,1.195942396136053,1.2051180929676792,1.0,1.0
2019-03-12,1.2198283078114498,1.2198283078114498,1.0,1.1998778520575202,1.210655231982563,1.0,1.0
2019-03-13,1.2333549675463455,1.2333549675463455,1.0,1.2065913977047946,1.2240801716026974,1.0,1.0
2019-03-14,1.225491371379649,1.225491371379649,1.0,1.2010940851694316,1.216275709466145,1.0,1.0
2019-03-15,1.2395183670902263,1.2395183670902263,1.0,1.21088915984815,1.2301972225489781,1.0,1.0
2019-03-18,1.2557980707204484,1.2557980707204484,1.0,1.231308391068124,1.2463545032489276,1.0,1.0
2019-03-19,1.255162923172364,1.255162923172364,1.0,1.2275337520127405,1.2457241319931982,1.0,1.0
2019-03-20,1.25974975311666,1.25974975311666,1.0,1.2290855426923664,1.250276469100573,1.0,1.0
2019-03-21,1.2599497438614489,1.2599497438614489,1.0,1.2298392747800684,1.250474955920379,1.0,1.0
2019-03-22,1.2576317298710247,1.2576317298710247,1.0,1.2297177001384287,1.2481743733323662,1.0,1.0
2019-03-25,1.2440650175909822,1.2440650175909822,1.0,1.214834520488501,1.2345016532989175,1.0,1.0
2019-03-26,1.2373918183752373,1.2373918183752373,1.0,1.2071202553237428,1.2299148687084274,1.0,1.0
2019-03-27,1.2413986658459233,1.2413986658459233,1.0,1.2173676299042182,1.2302297665951087,1.0,1.0
2019-03-28,1.2283684520633191,1.2283684520633191,1.0,1.2094949950422462,1.2201449004240137,1.0,1.0
2019-03-29,1.2526626658420639,1.2526626658420639,1.0,1.2301692633748935,1.2317683726834052,1.0,1.0
2019-04-01,1.2782518250762973,1.2782518250762973,1.0,1.250934078173619,1.2498175115877355,1.0,1.0
