variant,cost_bps,net_sharpe
baseline_k40_monthly,0,0.8103180666969393
baseline_k40_monthly,5,0.7742206132974657
baseline_k40_monthly,10,0.738058224293079
baseline_k40_monthly,15,0.7018434659280999
D1_regime_breadth,0,0.4514879759486561
D1_regime_breadth,5,0.4166911307151755
D1_regime_breadth,10,0.3818580532983976
D1_regime_breadth,15,0.3470019429980695
D1b_regime_mom200,0,0.6112347461305473
D1b_regime_mom200,5,0.5797915203604459
D1b_regime_mom200,10,0.5482959581103949
D1b_regime_mom200,15,0.5167602136105454
D2_ensemble_k40_k80,0,0.8404818994462329
D2_ensemble_k40_k80,5,0.8107460997888422
D2_ensemble_k40_k80,10,0.7809579439360473
D2_ensemble_k40_k80,15,0.7511245173821512
D3_stoploss_20dlow,0,0.5271966714883258
D3_stoploss_20dlow,5,0.467368794249198
D3_stoploss_20dlow,10,0.4076689684617771
D3_stoploss_20dlow,15,0.34812810044284853
D4_disp_gt_Q75,0,0.5018830141338975
D4_disp_gt_Q75,5,0.48029568672771805
D4_disp_gt_Q75,10,0.45865790122979566
D4_disp_gt_Q75,15,0.4369768334960009
D5_breadth_and_disp,0,0.1616416527510377
D5_breadth_and_disp,5,0.1397111801242218
D5_breadth_and_disp,10,0.1177547794129236
D5_breadth_and_disp,15,0.0957818624089589
