alpha,horizon,ic_mean,ic_std,icir,n_dates,t_stat
alpha_01,1,0.010541173657726761,0.048200408563459265,0.2186946951673357,1999,9.777878707520022
alpha_01,5,0.017649634456391516,0.050465272312405184,0.34973821893066354,1997,15.629033658426971
alpha_01,10,0.023074227620578976,0.04949437743372558,0.46619896677104466,1992,20.80731172986631
alpha_01,20,0.03013127020148295,0.04785939603296639,0.6295789896873751,1980,28.014496504960366
alpha_01,60,0.05528800844951362,0.04442494606937482,1.244526180474701,1900,54.24763853279884
alpha_02,1,0.010644753401006526,0.04447341833532527,0.2393509156581155,2010,10.730825236719701
alpha_02,5,0.017813067391243612,0.0453022861606428,0.3932046018180655,2008,17.619778564242345
alpha_02,10,0.024577081785756464,0.04615307143181713,0.5325123772545601,2000,23.814677488024188
alpha_02,20,0.027177952582281967,0.04430998922421558,0.6133594942837204,1980,27.29277452131613
alpha_02,60,0.039760252580361366,0.040074135103800264,0.9921674535800741,1900,43.24757665225626
alpha_03,1,0.014210032611170367,0.05124211489002197,0.27731159499697755,1970,12.308386970596203
alpha_03,5,0.02462313690156116,0.053586366601784,0.45950375931518006,1968,20.384572870069483
alpha_03,10,0.03279748728022737,0.05436869907192006,0.6032420830382967,1963,26.727096439738386
alpha_03,20,0.04385789333874155,0.054742522064398606,0.8011668385893423,1953,35.40577348763174
alpha_03,60,0.06830462609951292,0.04961399507677673,1.3767209432300862,1900,60.00987464995943
alpha_04,1,0.031412549639626135,0.07463622708349368,0.4208753693362032,1999,18.81741259980386
alpha_04,5,0.04641634401652449,0.0727316862474499,0.6381860013337987,1997,28.519132183149463
alpha_04,10,0.0554069428542194,0.06897623492969163,0.8032758371154415,1992,35.85166836317493
alpha_04,20,0.06418130990468102,0.06687502307523033,0.9597201907875375,1980,42.70485256172218
alpha_04,60,0.07631788090354175,0.0644585385157751,1.1839840409174696,1900,51.60866785124176
alpha_05,1,0.010086769542270977,0.04562642649430913,0.22107296839319804,1999,9.884211726334362
alpha_05,5,0.017631575329878475,0.048394554573975984,0.3643297367873657,1997,16.281096576821223
alpha_05,10,0.02309067825534638,0.04884277023768027,0.4727552950617209,1992,21.099932641260217
alpha_05,20,0.030215956703214426,0.04792723739276665,0.6304547966241577,1980,28.053467453437694
alpha_05,60,0.05218121113127285,0.048239449706859026,1.0817124044400812,1900,47.15075056928712
alpha_06,1,0.004180379057482093,0.05102849461613046,0.08192244527160021,1999,3.662767094904805
alpha_06,5,0.008452041283385767,0.05189365537209887,0.1628723438883068,1997,7.278407697163627
alpha_06,10,0.01128473808424503,0.05337035484945936,0.21144206584489936,1992,9.437045747470309
alpha_06,20,0.014088323883340326,0.05486248593079533,0.2567933925034244,1980,11.426584613880355
alpha_06,60,0.019822354378469936,0.05490089788830093,0.3610570162039912,1900,15.738110464895252
alpha_07,1,0.0054652219696229515,0.04777423126908362,0.11439685839926196,2000,5.1159830358633505
alpha_07,5,0.010623806619702941,0.050551933779900374,0.2101562853353595,1998,9.393774385377911
alpha_07,10,0.012756404135025356,0.05189033307792437,0.24583392278228205,1993,10.974770838514868
alpha_07,20,0.013908012154132607,0.05262796340953571,0.2642703850404479,1980,11.759289778326949
alpha_07,60,0.018904321940639037,0.054300064598514795,0.34814547791819944,1900,15.175309558961025
alpha_08,1,0.01009629512196787,0.04562239534696342,0.22130129391901535,1999,9.894420201192721
alpha_08,5,0.01764540670556496,0.04837322377312431,0.3647763231229707,1997,16.301053540323537
alpha_08,10,0.023105066344854527,0.04882310760317284,0.4732403871676741,1992,21.121583188313494
alpha_08,20,0.030219129988090787,0.047917186835728556,0.6306532579153511,1980,28.062298423402666
alpha_08,60,0.05217594199980307,0.048243235596664276,1.0815182969073227,1900,47.14228961809238
