alpha,year,n,ls_ann_ret,ls_sharpe
alpha_01,2018,12,0.10227080048532128,2.079268646332404
alpha_01,2019,12,0.062183607606537905,1.3269206712451183
alpha_01,2020,12,0.19423367589392637,2.3443921912082604
alpha_01,2021,12,0.12522876519917128,2.8894468873508963
alpha_01,2022,12,0.04964959781292159,1.5225402939456372
alpha_01,2023,12,0.11202605339289264,3.2661741335513024
alpha_01,2024,12,0.058929494065093714,1.2962785478867251
alpha_01,2025,13,0.06559213952169023,0.8660080597710312
alpha_01,2026,2,,
alpha_02,2018,12,0.05772821936227665,1.338515598762022
alpha_02,2019,12,0.0722149113808488,1.424546923864023
alpha_02,2020,12,0.20616359853915195,3.9033285605553907
alpha_02,2021,12,0.1586350109632565,3.801314355229638
alpha_02,2022,12,0.1014384479663277,2.600834452713119
alpha_02,2023,12,0.06325108418350009,2.072192186280481
alpha_02,2024,12,0.10978738393454035,2.0432724422750375
alpha_02,2025,13,0.04044708829843423,0.5546365753272349
alpha_02,2026,2,,
alpha_03,2018,10,0.16851507112235167,5.625808563655841
alpha_03,2019,12,0.13201889002263706,3.0600193188490357
alpha_03,2020,12,0.2560574813051114,2.7355435502006427
alpha_03,2021,12,0.12404318088075436,1.701564963724181
alpha_03,2022,12,0.05436212450388314,1.4067577544117982
alpha_03,2023,12,0.18642545562111018,4.588596429414947
alpha_03,2024,12,0.045959861526044705,0.7843207464875127
alpha_03,2025,13,0.16879516607334216,2.7543781273657846
alpha_03,2026,2,,
alpha_04,2018,12,0.24599718210654184,4.666708681949265
alpha_04,2019,12,0.12871344581948305,3.675140428053152
alpha_04,2020,12,0.07979784411623202,0.9024216853749409
alpha_04,2021,12,0.18820172251095513,3.799836257121349
alpha_04,2022,12,0.19009435992265217,3.686469084152234
alpha_04,2023,12,0.15575227253531146,2.4768291137834657
alpha_04,2024,12,0.17311815279725717,1.6408227512549693
alpha_04,2025,13,0.15258017370625895,2.2039072637193384
alpha_04,2026,2,,
alpha_05,2018,12,0.06774147688862606,2.4722992502509955
alpha_05,2019,12,0.07401390595051602,1.8026068703498213
alpha_05,2020,12,0.18670694539426388,2.483244044127203
alpha_05,2021,12,0.12941210848440188,3.1804276723926606
alpha_05,2022,12,0.045392947676334616,1.2767883254312198
alpha_05,2023,12,0.15010158233245285,3.946753345847036
alpha_05,2024,12,0.0036004976812437665,0.06686827922039927
alpha_05,2025,13,0.059490583754482795,1.0979583189507784
alpha_05,2026,2,,
alpha_06,2018,12,0.1116796597315688,1.6167244089898232
alpha_06,2019,12,0.08517378297326937,1.4785036841268397
alpha_06,2020,12,0.07309515117953828,0.9838172168524333
alpha_06,2021,12,0.05561855827140324,2.4984236685159806
alpha_06,2022,12,-0.018803868877568315,-0.6487405521088921
alpha_06,2023,12,-0.021260817637706722,-0.410575736138546
alpha_06,2024,12,0.12853500849324953,1.9223597791192382
alpha_06,2025,13,0.04416329080445684,1.1950970088498925
alpha_06,2026,2,,
alpha_07,2018,12,0.02999876865068533,0.9056660493662978
alpha_07,2019,12,0.07092601392455031,1.7809852086936853
alpha_07,2020,12,0.14725592252738062,1.9343776437896325
alpha_07,2021,12,-0.017498138686776923,-0.3338817802671876
alpha_07,2022,12,0.0013549166598363653,0.03639952132626599
alpha_07,2023,12,0.03899258356272776,1.0673106652186122
alpha_07,2024,12,-0.06359422545837365,-0.8249030621682059
alpha_07,2025,13,0.10189009524611008,2.247660433023686
alpha_07,2026,2,,
alpha_08,2018,12,0.06850979722049154,2.474957599520242
alpha_08,2019,12,0.07414129752995567,1.806162944792359
alpha_08,2020,12,0.18649816075518671,2.476115850083895
alpha_08,2021,12,0.13036764208657062,3.2160379379860284
alpha_08,2022,12,0.044433981365959295,1.2528084265239583
alpha_08,2023,12,0.150485556344818,3.9637864317820384
alpha_08,2024,12,0.003079073581235937,0.05734686767795851
alpha_08,2025,13,0.059466450453304634,1.0976474580635067
alpha_08,2026,2,,
