alpha,year,n,q5_ann_excess,q5_ir
alpha_01,2018,12,0.02704776168985604,1.4041679477308933
alpha_01,2019,12,0.004732799904007342,0.1599594929551167
alpha_01,2020,12,0.07308458176435303,1.40052906517136
alpha_01,2021,12,0.030815136501567877,1.0581573897576495
alpha_01,2022,12,-0.03237064604751898,-1.1353441846660606
alpha_01,2023,12,0.0021925350439231123,0.0791606783462957
alpha_01,2024,12,-0.024135210832819897,-0.4373361654241485
alpha_01,2025,13,0.031012741197638558,0.6549490046529594
alpha_01,2026,2,,
alpha_02,2018,12,0.004341707440670611,0.27473970546100784
alpha_02,2019,12,0.024178121874996916,0.9940529874310018
alpha_02,2020,12,0.07135958342798394,2.3413144125120056
alpha_02,2021,12,0.046469978273829066,1.1691092468680258
alpha_02,2022,12,-0.017099878202246427,-0.6567254396666142
alpha_02,2023,12,-0.03066489423133532,-0.9932180255747028
alpha_02,2024,12,-0.014890256095567841,-0.32627069688860905
alpha_02,2025,13,0.02386077999199246,0.6129338849865342
alpha_02,2026,2,,
alpha_03,2018,10,0.033831360227669464,3.241165412350189
alpha_03,2019,12,0.05082003095720083,1.908018463515363
alpha_03,2020,12,0.08882071990763855,1.6565374894861697
alpha_03,2021,12,0.014675322883895342,0.3251232291478339
alpha_03,2022,12,-0.03335710302686362,-1.0192482777105327
alpha_03,2023,12,0.06118873699319116,1.8857056480941083
alpha_03,2024,12,-0.011712191638852102,-0.2349542993811576
alpha_03,2025,13,0.11369696139712551,2.627862564058621
alpha_03,2026,2,,
alpha_04,2018,12,0.07539816902862419,2.05807763702996
alpha_04,2019,12,0.04309009890459988,2.6492994493101487
alpha_04,2020,12,0.02681849958221729,0.9254245242615772
alpha_04,2021,12,0.06283584761643596,2.248032107308526
alpha_04,2022,12,0.041574381875727776,0.9385552165615826
alpha_04,2023,12,0.009194275646182552,0.2758433492303004
alpha_04,2024,12,0.008152649147751845,0.13910702413687773
alpha_04,2025,13,0.07149967289397366,1.313546842089708
alpha_04,2026,2,,
alpha_05,2018,12,0.01988050561001719,1.2647318560679115
alpha_05,2019,12,0.011194747704900412,0.44904320738702486
alpha_05,2020,12,0.07835983185828331,1.7936004593527115
alpha_05,2021,12,0.06551961129149235,3.7129180750165096
alpha_05,2022,12,0.007014043510350736,0.4260715618340355
alpha_05,2023,12,0.06385864182592936,2.8651071762252314
alpha_05,2024,12,-0.00406647311856147,-0.10803218005330718
alpha_05,2025,13,0.027310672868176337,1.0204080691133663
alpha_05,2026,2,,
alpha_06,2018,12,0.01260906065439053,0.5323638352487257
alpha_06,2019,12,0.001537679803596726,0.035363074924793965
alpha_06,2020,12,-0.013161944043324731,-0.442669932605877
alpha_06,2021,12,-0.03276946189850631,-1.5452175369626164
alpha_06,2022,12,-0.07347334373260579,-2.5566805773394248
alpha_06,2023,12,-0.05204197991132091,-0.7175655548408361
alpha_06,2024,12,0.02044349314232093,0.37336850056232723
alpha_06,2025,13,0.003336903450364701,0.06564265975329318
alpha_06,2026,2,,
alpha_07,2018,12,0.011512453011807719,0.6149440488052869
alpha_07,2019,12,0.020316991966922247,0.9705410800272043
alpha_07,2020,12,0.0837241244622896,1.9653180543984883
alpha_07,2021,12,0.019205870512525442,0.5685498015465893
alpha_07,2022,12,0.00895005964332785,0.4881269471939068
alpha_07,2023,12,0.016752570347993195,0.6884867817633705
alpha_07,2024,12,-0.035243720113122885,-0.8585046018974601
alpha_07,2025,13,0.05481224159242805,2.526441151812234
alpha_07,2026,2,,
alpha_08,2018,12,0.020660075980777317,1.2996002417069783
alpha_08,2019,12,0.011194747704900419,0.4490432073870252
alpha_08,2020,12,0.07861781984968522,1.7886086616222263
alpha_08,2021,12,0.0654101670571726,3.7325894872091516
alpha_08,2022,12,0.006152546695747474,0.37423716913772576
alpha_08,2023,12,0.0643057896955698,2.900121440679062
alpha_08,2024,12,-0.004011810578490672,-0.10639082638516353
alpha_08,2025,13,0.027310672868176327,1.0204080691133666
alpha_08,2026,2,,
