alpha,h,ic_mean,ic_t,ic_ir,ls_sr_daily,q5e_sr_daily,ls_sr_monthly,q5e_sr_monthly,q5_size_mean
alpha_09,1,-0.0035330729166656275,-1.1732955604636184,-0.04378700141959743,-0.5146717082928486,-0.463922420597727,-0.1505464181284454,-0.20046102683593525,1018.5557103064067
alpha_09,5,-0.00024428794637321855,-0.08375098500241743,-0.003134301839905446,0.23744913818408334,-0.2572880010269512,-0.14837244644488082,-0.3044653447853356,1018.2380952380952
alpha_09,10,0.007165317717691445,2.416290922414149,0.09068178242857806,0.42750925767806863,0.0007083735433261476,-0.08109403255769541,-0.15744789290927694,1016.4042253521127
alpha_09,20,0.00920436943365986,3.2356271546340083,0.12220795099524015,0.01836158164054715,-0.299892425631188,-0.10347197666342794,-0.2461638584232878,1014.1340941512126
alpha_10,1,0.004189499022414299,1.504625340247766,0.0561521189796014,0.8171733545992255,0.4788607815399057,-0.2531470947481453,-0.2840558390657541,1018.5557103064067
alpha_10,5,0.007761633897921433,2.7556310867496814,0.1031269015528697,0.6785130158503159,0.1036758592902715,-0.24050548489446524,-0.2009979834726919,1018.2380952380952
alpha_10,10,0.010986897363043929,3.8677589762679023,0.14515440782340952,0.5529310839709911,-0.20740290735776756,-0.16081827483406452,-0.06915839356338938,1016.4042253521127
alpha_10,20,0.014499516086234412,5.146603033901831,0.19438451382083682,0.3995840865784148,0.09275978697340775,-0.06522265150804304,-0.07297192210885013,1014.1340941512126
alpha_11,1,-0.007260890352423225,-2.2981421700017344,-0.08576590404939402,-1.2462358853480822,-0.9017762064645947,-0.2400290498986963,-0.2642193607204073,1018.5557103064067
alpha_11,5,-0.003164258369156423,-0.9926211090102063,-0.037147911373339323,-0.15833681585321163,-0.3932293573307814,-0.05964378544136304,-0.29610171545346337,1018.2380952380952
alpha_11,10,0.005763360837612904,1.8576851456530008,0.06971768119320579,0.3031620889238782,0.05868991665766225,-0.04256690073179568,-0.12097440603219466,1016.4042253521127
alpha_11,20,0.007580485089920835,2.498863634793724,0.09438077690357424,0.07105712914291452,-0.10777180607320734,0.013975492882166261,-0.0785069746886551,1014.1340941512126
alpha_12,1,0.0009648523140676756,0.28341611430922337,0.010554967663233194,0.5447836559189283,0.003956788478942313,0.31070798225228213,0.2999185489258963,1018.8252427184466
alpha_12,5,-0.0021502333756594503,-0.6414426881020839,-0.023955116157618674,0.1979909830303568,-0.3998468140723903,-0.2512069444361267,-0.1961986815697298,1018.5076708507671
alpha_12,10,-0.013010676076881706,-3.881550160728616,-0.14536519591250896,-0.3893157622798359,-0.6242839348809635,-0.18222629798856893,-0.055500671068451454,1016.6788218793829
alpha_12,20,-0.013616603436541374,-3.798820434530214,-0.14317343212808614,-0.0865144728532668,-0.3591959089705743,-0.21187982599849273,-0.10470989740834039,1014.4176136363636
alpha_13,1,0.0071392187377742914,2.4141469632805928,0.09163976554257824,1.1653765582035667,1.1489331891494934,0.041951931689263824,0.09121877747157855,1018.4193083573487
alpha_13,5,0.00353404009513763,1.2054998513563795,0.0458262282539489,0.4427179672656681,0.12272912024745085,-0.14731471714069924,-0.14023714388604655,1018.2485549132948
alpha_13,10,-0.0014687943184839788,-0.5123432546586268,-0.019532903463748547,-0.19938994431974585,-0.548808978392382,-0.06636832000406849,-0.09509299542426233,1016.3561046511628
alpha_13,20,-0.0016186936260843847,-0.5438542830506868,-0.020871211832257045,-0.04400712350793662,-0.4992052110393937,-0.2609730024957028,-0.293204815704141,1014.0117820324006
alpha_14,1,0.007104030031084751,2.402148476103282,0.09118430919774155,1.0671122723182846,1.0758213265797747,-0.01713254482596803,0.06690581799613692,1018.4193083573487
alpha_14,5,0.00029150665359297,0.09933243055570508,0.003776052423850164,0.049731823711260226,-0.10598784839910004,-0.08362633105818791,-0.07426176107899614,1018.2485549132948
alpha_14,10,-0.002347031746449873,-0.8189321569736427,-0.031221495784469176,-0.3163888499500531,-0.6248219741462656,-0.025918961605731823,-0.058652221103657566,1016.3561046511628
alpha_14,20,-0.003945846016013455,-1.3271704912985165,-0.05093212892621535,-0.10842104900758769,-0.5339214452265453,-0.25888396308869166,-0.28755402268879243,1014.0117820324006
alpha_15,1,0.002850007168043978,0.6460450644828395,0.03483241545878939,0.8320181587460364,1.7724568551573463,-0.016867411383243967,-0.03517264624925558,1015.8633720930233
alpha_15,5,-0.003158714935020319,-0.7308762740991943,-0.03946360939640707,0.19614032124756575,0.6168476413665906,-0.05327012218424382,0.007208951181975162,1018.8104956268221
alpha_15,10,0.0007699945155017442,0.18497346308371526,0.00998762821358974,-0.021428168223533228,-0.21084790145178717,0.08337034923717765,0.10715173367887977,1015.6763848396502
alpha_15,20,0.005320053392136516,1.298677325415796,0.07032732009508796,-0.018326961256251394,-0.3960734277896961,-0.15031005891679927,-0.20457757239726299,1018.4809384164223
alpha_16,1,0.0023746028716924023,0.7532050798260097,0.02810936392408872,0.5158820365253127,0.9764355407770937,0.3122446061369564,0.2822664768592913,1022.2093663911845
alpha_16,5,0.0038556697232950453,1.2609775356048274,0.047190898230170836,0.5615581340532484,0.5408508320302322,-0.0009299701202115777,-0.022697595585447445,1021.9085872576177
alpha_16,10,0.005772509204270213,1.9222658688884704,0.07214135254800605,0.37687437598968604,0.2688223216990149,-0.17200543549124342,-0.1582982400651801,1020.108635097493
alpha_16,20,0.008146808354599147,2.668512012637296,0.10078830770212029,0.11841448259292148,0.040914294658365644,-0.053313544876822536,-0.05398114657261827,1017.8885754583921
