expr,cost_bps_per_side,sharpe_net
m1_ivol_LS_no_gate,0,0.6598369030759412
m1_ivol_LS_no_gate,2,0.6466340260289811
m1_ivol_LS_no_gate,5,0.6268240859425166
m1_ivol_LS_no_gate,10,0.5937933965971391
m1_ivol_LS_no_gate,20,0.5276849855238529
m3_ivol_LS_ma50_gate,0,0.4378595806394144
m3_ivol_LS_ma50_gate,2,0.4283356466151919
m3_ivol_LS_ma50_gate,5,0.4140266115347935
m3_ivol_LS_ma50_gate,10,0.3901186016905678
m3_ivol_LS_ma50_gate,20,0.34209323385687346
m2_ivol_top3_no_gate,0,0.5769917916265261
m2_ivol_top3_no_gate,2,0.5692617737726711
m2_ivol_top3_no_gate,5,0.5576670736154972
m2_ivol_top3_no_gate,10,0.5383436605371027
m2_ivol_top3_no_gate,20,0.49970236903692583
m4_ivol_top3_ma50_gate,0,0.44331437889040093
m4_ivol_top3_ma50_gate,2,0.43740170695504094
m4_ivol_top3_ma50_gate,5,0.4285246510710666
m4_ivol_top3_ma50_gate,10,0.41370860029064743
m4_ivol_top3_ma50_gate,20,0.3840013375682849
m5_ivol_top5_ma50_gate,0,0.5064185090963539
m5_ivol_top5_ma50_gate,2,0.5010929355487804
m5_ivol_top5_ma50_gate,5,0.49309790198057163
m5_ivol_top5_ma50_gate,10,0.47975547684861874
m5_ivol_top5_ma50_gate,20,0.453008390518304
m6_ivol_top5_ma200_gate,0,0.8336842160291232
m6_ivol_top5_ma200_gate,2,0.8289730196593885
m6_ivol_top5_ma200_gate,5,0.8218962851992113
m6_ivol_top5_ma200_gate,10,0.810075506634915
m6_ivol_top5_ma200_gate,20,0.7863375741339934
m7_ivol_top5_ma50_lag5,0,0.49402180489122494
m7_ivol_top5_ma50_lag5,2,0.4888811582276962
m7_ivol_top5_ma50_lag5,5,0.481162833969883
m7_ivol_top5_ma50_lag5,10,0.4682797533858307
m7_ivol_top5_ma50_lag5,20,0.4424443224304447
m8_total_vol_top5_ma50,0,0.19491145259126622
m8_total_vol_top5_ma50,2,0.18822106320122534
m8_total_vol_top5_ma50,5,0.17817790007320078
m8_total_vol_top5_ma50,10,0.16142031636873366
m8_total_vol_top5_ma50,20,0.12784235484746226
