expr,cost_bps_per_side,sharpe_net
r2_topN_no_gate,0,0.7638487201429474
r2_topN_no_gate,2,0.7568343868479339
r2_topN_no_gate,5,0.746309639327909
r2_topN_no_gate,10,0.7287599197666388
r2_topN_no_gate,20,0.6936299667300148
r2_topN_RS_gate,0,0.6280721913697976
r2_topN_RS_gate,2,0.6228224588589153
r2_topN_RS_gate,5,0.6149418173069151
r2_topN_RS_gate,10,0.6017917029970666
r2_topN_RS_gate,20,0.5754352884417272
r2_topN_disp_gate,0,0.2679175938627041
r2_topN_disp_gate,2,0.2558259000326973
r2_topN_disp_gate,5,0.2376834394061222
r2_topN_disp_gate,10,0.20743384705824228
r2_topN_disp_gate,20,0.14689557751085483
r2_topN_persist,0,0.6949571880288301
r2_topN_persist,2,0.6892103769465601
r2_topN_persist,5,0.6805878634937419
r2_topN_persist,10,0.6662109785582417
r2_topN_persist,20,0.6374352468773209
r2_topN_RS_persist,0,0.5368667586693213
r2_topN_RS_persist,2,0.5325117759243745
r2_topN_RS_persist,5,0.5259760013940789
r2_topN_RS_persist,10,0.5150744576152229
r2_topN_RS_persist,20,0.4932406280373901
r2_LS_voltarget_10,0,0.8466078591774069
r2_LS_voltarget_10,2,0.8324630742464375
r2_LS_voltarget_10,5,0.8112214225361805
r2_LS_voltarget_10,10,0.7757553970131219
r2_LS_voltarget_10,20,0.7045996703770946
r2_topN_RS_voltarget,0,0.5936839027056732
r2_topN_RS_voltarget,2,0.588575632349614
r2_topN_RS_voltarget,5,0.5809042302054945
r2_topN_RS_voltarget,10,0.568095098127761
r2_topN_RS_voltarget,20,0.5423924607691278
r2_kitchen_sink,0,0.4543720281377421
r2_kitchen_sink,2,0.4500713885141099
r2_kitchen_sink,5,0.44361579809259233
r2_kitchen_sink,10,0.43284446237864743
r2_kitchen_sink,20,0.4112589694342453
