expr,year,sharpe
r3_vt_LS_70,2019,2.5398887217522033
r3_vt_LS_70,2020,1.3581243535001106
r3_vt_LS_70,2021,0.5121988919455133
r3_vt_LS_70,2022,-0.7145303719271643
r3_vt_LS_70,2023,-0.6624992376223344
r3_vt_LS_70,2024,-1.0140342389868466
r3_vt_LS_70,2025,2.317807299459679
r3_vt_LS_70,2026,
r3_vt_LS_eq_only,2019,1.5449784260072945
r3_vt_LS_eq_only,2020,0.9906320424105642
r3_vt_LS_eq_only,2021,0.8497403567398649
r3_vt_LS_eq_only,2022,0.2487445898859615
r3_vt_LS_eq_only,2023,0.7188212192067578
r3_vt_LS_eq_only,2024,-1.134694342323999
r3_vt_LS_eq_only,2025,2.086574926713098
r3_vt_LS_eq_only,2026,
r3_vt_LS_70_q1_no_bonds,2019,1.551941861772437
r3_vt_LS_70_q1_no_bonds,2020,0.24976266147974446
r3_vt_LS_70_q1_no_bonds,2021,0.7851039914057554
r3_vt_LS_70_q1_no_bonds,2022,0.2554277291778309
r3_vt_LS_70_q1_no_bonds,2023,0.8084294047571718
r3_vt_LS_70_q1_no_bonds,2024,-0.8941639126039069
r3_vt_LS_70_q1_no_bonds,2025,1.9854868899762816
r3_vt_LS_70_q1_no_bonds,2026,
r3_top5_lo_70,2019,2.3444459895760414
r3_top5_lo_70,2020,1.4857317049873329
r3_top5_lo_70,2021,-0.21984453279118438
r3_top5_lo_70,2022,-0.11931003585745546
r3_top5_lo_70,2023,-0.21194509429109126
r3_top5_lo_70,2024,0.4490537169337497
r3_top5_lo_70,2025,2.1586629818242726
r3_top5_lo_70,2026,0.35428426586683676
r3_top5_lo_bond_rotate,2019,2.3444459895760414
r3_top5_lo_bond_rotate,2020,1.2026121757577382
r3_top5_lo_bond_rotate,2021,0.09279792941373932
r3_top5_lo_bond_rotate,2022,0.6557129573206759
r3_top5_lo_bond_rotate,2023,0.9615814452797683
r3_top5_lo_bond_rotate,2024,0.4446448093622221
r3_top5_lo_bond_rotate,2025,1.6985407210142351
r3_top5_lo_bond_rotate,2026,0.35428426586683676
r3_top5_5050_bond_ballast,2019,2.561040743302078
r3_top5_5050_bond_ballast,2020,1.5380040713024403
r3_top5_5050_bond_ballast,2021,-0.05501389936733758
r3_top5_5050_bond_ballast,2022,-0.042101842472279216
r3_top5_5050_bond_ballast,2023,-0.0761423620844702
r3_top5_5050_bond_ballast,2024,0.6291807489975343
r3_top5_5050_bond_ballast,2025,2.390335158733794
r3_top5_5050_bond_ballast,2026,
r3_vt_LS_70_beta90,2019,2.3669634721256143
r3_vt_LS_70_beta90,2020,1.4133742117665833
r3_vt_LS_70_beta90,2021,0.3862516800752125
r3_vt_LS_70_beta90,2022,-0.6747158368439824
r3_vt_LS_70_beta90,2023,-0.7351815246659152
r3_vt_LS_70_beta90,2024,-1.0011903713942398
r3_vt_LS_70_beta90,2025,2.30507877938022
r3_vt_LS_70_beta90,2026,
r3_kitchen_sink,2019,1.4803861954838622
r3_kitchen_sink,2020,1.134739517476038
r3_kitchen_sink,2021,1.3491211393054674
r3_kitchen_sink,2022,0.30599784619079956
r3_kitchen_sink,2023,0.8112641526496537
r3_kitchen_sink,2024,0.8584887918515806
r3_kitchen_sink,2025,1.9646410140828683
r3_kitchen_sink,2026,
