expr,cost_bps_per_side,sharpe_net
f1_ivol_resid_20d,0,-0.7605156538979932
f1_ivol_resid_20d,2,-0.7655959917710919
f1_ivol_resid_20d,5,-0.7732117974134641
f1_ivol_resid_20d,10,-0.7858918237464789
f1_ivol_resid_20d,20,-0.8112001865087343
f2_total_vol_20d,0,-0.6021254088192194
f2_total_vol_20d,2,-0.6082715925241293
f2_total_vol_20d,5,-0.6174850017769997
f2_total_vol_20d,10,-0.6328243542423394
f2_total_vol_20d,20,-0.6634372135863863
f3_ivol_resid_10d,0,-0.6728454901941008
f3_ivol_resid_10d,2,-0.6819006216936363
f3_ivol_resid_10d,5,-0.6954737414359276
f3_ivol_resid_10d,10,-0.7180681098948091
f3_ivol_resid_10d,20,-0.7631405732564334
f4_ivol_resid_40d,0,-0.6325138617032001
f4_ivol_resid_40d,2,-0.6354812783131103
f4_ivol_resid_40d,5,-0.6399301967966718
f4_ivol_resid_40d,10,-0.6473390539013906
f4_ivol_resid_40d,20,-0.662133412872281
f5_ivol_resid_amp_20d,0,-0.7959229759090505
f5_ivol_resid_amp_20d,2,-0.8008194373595677
f5_ivol_resid_amp_20d,5,-0.8081596108047046
f5_ivol_resid_amp_20d,10,-0.8203807824032271
f5_ivol_resid_amp_20d,20,-0.8447737391867026
f6_ivol_lag5_20d,0,-0.6500145489861597
f6_ivol_lag5_20d,2,-0.6550924736711417
f6_ivol_lag5_20d,5,-0.6627058707261333
f6_ivol_lag5_20d,10,-0.6753851130554515
f6_ivol_lag5_20d,20,-0.7007040205364156
f7_vol_of_vol_20m40,0,-0.44504366518564464
f7_vol_of_vol_20m40,2,-0.4606001992357225
f7_vol_of_vol_20m40,5,-0.4839117750355926
f7_vol_of_vol_20m40,10,-0.522693451231584
f7_vol_of_vol_20m40,20,-0.5999304278832565
f8_kitchen_sink_rank,0,-0.682708042502084
f8_kitchen_sink_rank,2,-0.6918704584405043
f8_kitchen_sink_rank,5,-0.7056039146677324
f8_kitchen_sink_rank,10,-0.728463856491566
f8_kitchen_sink_rank,20,-0.7740607278420171
