expr,year,sharpe
f1_ivol_resid_20d,2019,-1.3771305327422683
f1_ivol_resid_20d,2020,-1.4899797932794274
f1_ivol_resid_20d,2021,-0.6619204748662286
f1_ivol_resid_20d,2022,0.1291785492708869
f1_ivol_resid_20d,2023,-0.4671764142039348
f1_ivol_resid_20d,2024,-0.1888150554785158
f1_ivol_resid_20d,2025,-1.2672040664853204
f1_ivol_resid_20d,2026,
f2_total_vol_20d,2019,-1.1240411062903304
f2_total_vol_20d,2020,-1.3555450841504346
f2_total_vol_20d,2021,-0.00943565384919517
f2_total_vol_20d,2022,-0.8269430584165411
f2_total_vol_20d,2023,0.031041705678658736
f2_total_vol_20d,2024,0.3419132941558439
f2_total_vol_20d,2025,-1.3714133685497232
f2_total_vol_20d,2026,-1.2672445546366802
f3_ivol_resid_10d,2019,-1.0050146977651786
f3_ivol_resid_10d,2020,-1.541737418968377
f3_ivol_resid_10d,2021,-1.1958851617790305
f3_ivol_resid_10d,2022,0.21002517438107265
f3_ivol_resid_10d,2023,-0.25708667384307504
f3_ivol_resid_10d,2024,0.22827123449964756
f3_ivol_resid_10d,2025,-1.3921285590490198
f3_ivol_resid_10d,2026,0.4260945905866512
f4_ivol_resid_40d,2019,-1.5839034212370315
f4_ivol_resid_40d,2020,-1.4017711493063034
f4_ivol_resid_40d,2021,-0.38010119852803886
f4_ivol_resid_40d,2022,-0.09022544795354748
f4_ivol_resid_40d,2023,-0.2300813104560932
f4_ivol_resid_40d,2024,0.22409399903814653
f4_ivol_resid_40d,2025,-1.4707502345125092
f4_ivol_resid_40d,2026,
f5_ivol_resid_amp_20d,2019,-1.5354814068467253
f5_ivol_resid_amp_20d,2020,-1.1283871150803075
f5_ivol_resid_amp_20d,2021,-0.8524673487458708
f5_ivol_resid_amp_20d,2022,-0.24314148513302003
f5_ivol_resid_amp_20d,2023,-0.5021908001059064
f5_ivol_resid_amp_20d,2024,-0.3781620358854719
f5_ivol_resid_amp_20d,2025,-1.1182460082143504
f5_ivol_resid_amp_20d,2026,
f6_ivol_lag5_20d,2019,-1.8420928771454321
f6_ivol_lag5_20d,2020,-1.2482688370400201
f6_ivol_lag5_20d,2021,-0.2956598105596305
f6_ivol_lag5_20d,2022,-0.2595451358746613
f6_ivol_lag5_20d,2023,-0.5189531535526806
f6_ivol_lag5_20d,2024,0.4734066327801648
f6_ivol_lag5_20d,2025,-1.2559408672143657
f6_ivol_lag5_20d,2026,
f7_vol_of_vol_20m40,2019,-0.23331751480354518
f7_vol_of_vol_20m40,2020,0.5510825825946783
f7_vol_of_vol_20m40,2021,0.2466959151446553
f7_vol_of_vol_20m40,2022,-0.6703360347186144
f7_vol_of_vol_20m40,2023,-0.47648599920102874
f7_vol_of_vol_20m40,2024,-2.156945873666054
f7_vol_of_vol_20m40,2025,-0.0945478441152557
f7_vol_of_vol_20m40,2026,
f8_kitchen_sink_rank,2019,-1.297697167626047
f8_kitchen_sink_rank,2020,-1.2020877057999275
f8_kitchen_sink_rank,2021,-0.2223556520152182
f8_kitchen_sink_rank,2022,-0.6021925882094455
f8_kitchen_sink_rank,2023,-0.239064969973912
f8_kitchen_sink_rank,2024,-0.5904924893868027
f8_kitchen_sink_rank,2025,-1.0084661397567098
f8_kitchen_sink_rank,2026,
