expr,year,sharpe
f1_ivol_resid_20d,2019,-1.502649464953562
f1_ivol_resid_20d,2020,-1.353958697495635
f1_ivol_resid_20d,2021,-0.41522382746230885
f1_ivol_resid_20d,2022,0.7281234346412255
f1_ivol_resid_20d,2023,-0.1907335944863278
f1_ivol_resid_20d,2024,-0.3298508975248377
f1_ivol_resid_20d,2025,-1.47271197511411
f1_ivol_resid_20d,2026,
f2_total_vol_20d,2019,-1.2331313044847245
f2_total_vol_20d,2020,-1.3193615413557076
f2_total_vol_20d,2021,-0.2436078218951831
f2_total_vol_20d,2022,-0.3519346144124357
f2_total_vol_20d,2023,-0.19968420034652903
f2_total_vol_20d,2024,0.061663661605448734
f2_total_vol_20d,2025,-1.5919445992558634
f2_total_vol_20d,2026,-1.4313904269295399
f3_ivol_resid_10d,2019,-0.8413605474095295
f3_ivol_resid_10d,2020,-1.9675671114977962
f3_ivol_resid_10d,2021,-0.9586878923831019
f3_ivol_resid_10d,2022,0.5936003114061881
f3_ivol_resid_10d,2023,-0.30213819559007654
f3_ivol_resid_10d,2024,0.382612040992344
f3_ivol_resid_10d,2025,-1.688193063719699
f3_ivol_resid_10d,2026,1.3623524136833987
f4_ivol_resid_40d,2019,-1.5573259633126704
f4_ivol_resid_40d,2020,-1.6457239836375541
f4_ivol_resid_40d,2021,-0.2886125341444613
f4_ivol_resid_40d,2022,-0.27845145362693946
f4_ivol_resid_40d,2023,-0.32344190079670787
f4_ivol_resid_40d,2024,0.21874046723446713
f4_ivol_resid_40d,2025,-1.8334061721013417
f4_ivol_resid_40d,2026,
f5_ivol_resid_amp_20d,2019,-1.4866397226068118
f5_ivol_resid_amp_20d,2020,-1.251018332794695
f5_ivol_resid_amp_20d,2021,-0.5104840134341887
f5_ivol_resid_amp_20d,2022,-0.08299659522648456
f5_ivol_resid_amp_20d,2023,-0.5147928062630139
f5_ivol_resid_amp_20d,2024,-0.09852708428376435
f5_ivol_resid_amp_20d,2025,-1.139877707600265
f5_ivol_resid_amp_20d,2026,
f6_ivol_lag5_20d,2019,-1.390312555953243
f6_ivol_lag5_20d,2020,-1.401582313050975
f6_ivol_lag5_20d,2021,-0.34891185963951704
f6_ivol_lag5_20d,2022,-0.18379175357785174
f6_ivol_lag5_20d,2023,-0.8463840460271322
f6_ivol_lag5_20d,2024,0.3289323555710375
f6_ivol_lag5_20d,2025,-1.3173643228848646
f6_ivol_lag5_20d,2026,
f7_vol_of_vol_20m40,2019,0.19001803588747665
f7_vol_of_vol_20m40,2020,0.5239686184009714
f7_vol_of_vol_20m40,2021,0.19487114377135054
f7_vol_of_vol_20m40,2022,0.39006062362570754
f7_vol_of_vol_20m40,2023,-0.24004887998633354
f7_vol_of_vol_20m40,2024,-1.962177461536205
f7_vol_of_vol_20m40,2025,0.029151450665545992
f7_vol_of_vol_20m40,2026,
f8_kitchen_sink_rank,2019,-0.855816894078303
f8_kitchen_sink_rank,2020,-1.255841502326225
f8_kitchen_sink_rank,2021,-0.5846055946574461
f8_kitchen_sink_rank,2022,-0.4579498919956247
f8_kitchen_sink_rank,2023,-0.29536208449863494
f8_kitchen_sink_rank,2024,-0.4027726937089634
f8_kitchen_sink_rank,2025,-0.8491730023611185
f8_kitchen_sink_rank,2026,
