expr,cost_bps_per_side,sharpe_net
g1_spillover_3leader_lag1,0,-0.2119070634712965
g1_spillover_3leader_lag1,2,-0.6123998115801167
g1_spillover_3leader_lag1,5,-1.2125770450998137
g1_spillover_3leader_lag1,10,-2.208336954972802
g1_spillover_3leader_lag1,20,-4.163078439201186
g2_spillover_510300only_lag1,0,0.4538760619302187
g2_spillover_510300only_lag1,2,0.07455685514768501
g2_spillover_510300only_lag1,5,-0.4933505652716318
g2_spillover_510300only_lag1,10,-1.4327784242378725
g2_spillover_510300only_lag1,20,-3.258340749449018
g3_spillover_3leader_lag1to2_decay,0,0.012971749707263162
g3_spillover_3leader_lag1to2_decay,2,-0.29108411731241474
g3_spillover_3leader_lag1to2_decay,5,-0.7468547837195714
g3_spillover_3leader_lag1to2_decay,10,-1.5033448553612978
g3_spillover_3leader_lag1to2_decay,20,-2.9896436496028107
g4_spillover_residual_leader_lag1,0,-0.0072745233345012875
g4_spillover_residual_leader_lag1,2,-0.406223299448021
g4_spillover_residual_leader_lag1,5,-1.0045347700103142
g4_spillover_residual_leader_lag1,10,-1.9984008815033931
g4_spillover_residual_leader_lag1,20,-3.9538561394500364
g5_spillover_3leader_lag1_volscaled,0,0.10395092960370247
g5_spillover_3leader_lag1_volscaled,2,-0.3998071314657801
g5_spillover_3leader_lag1_volscaled,5,-1.1537961222954725
g5_spillover_3leader_lag1_volscaled,10,-2.4015919727625166
g5_spillover_3leader_lag1_volscaled,20,-4.8355883401990924
g6_spillover_3leader_orthogonalized,0,-0.4216867217250693
g6_spillover_3leader_orthogonalized,2,-0.9565740591982734
g6_spillover_3leader_orthogonalized,5,-1.7581990553226539
g6_spillover_3leader_orthogonalized,10,-3.091530100395267
g6_spillover_3leader_orthogonalized,20,-5.742525532660212
g7_spillover_signonly_3leader,0,-0.04826693183500828
g7_spillover_signonly_3leader,2,-0.4678935562580638
g7_spillover_signonly_3leader,5,-1.09646016794646
g7_spillover_signonly_3leader,10,-2.13814705688304
g7_spillover_signonly_3leader,20,-4.176131218592692
g8_kitchen_sink_rank,0,0.1687579736724343
g8_kitchen_sink_rank,2,-0.27122655649825655
g8_kitchen_sink_rank,5,-0.930557886814607
g8_kitchen_sink_rank,10,-2.02461622361461
g8_kitchen_sink_rank,20,-4.174427246298489
