expr,k,ic_mean,ic_std,ic_t,n_days
g1_spillover_3leader_lag1,1,0.0005501577628478337,0.44316453689938734,0.0504271260653594,1650
g1_spillover_3leader_lag1,2,0.0005381377882783024,0.4390091192024668,0.04976208303132015,1648
g1_spillover_3leader_lag1,3,-0.0048081073993401285,0.4427518928388496,-0.4405839263277912,1646
g1_spillover_3leader_lag1,5,-0.008300691336843084,0.4380782633348817,-0.7678018185545533,1642
g2_spillover_510300only_lag1,1,0.0212189140184379,0.41100549724884056,2.093912229849792,1645
g2_spillover_510300only_lag1,2,0.016833673583905834,0.40386701917632833,1.6895042724794436,1643
g2_spillover_510300only_lag1,3,0.011179111607021928,0.4044629187483744,1.119651512056241,1641
g2_spillover_510300only_lag1,5,-0.0043988668993767506,0.40427026472705285,-0.44024391525269635,1637
g3_spillover_3leader_lag1to2_decay,1,0.005181206272719065,0.4442471292939831,0.47374891098120725,1650
g3_spillover_3leader_lag1to2_decay,2,-0.008237470869068574,0.43925751617064457,-0.7612955548226085,1648
g3_spillover_3leader_lag1to2_decay,3,-0.0041794834376352105,0.4405797094924645,-0.38486908891454286,1646
g3_spillover_3leader_lag1to2_decay,5,-0.008225283876167323,0.44052547751253635,-0.7566001817719391,1642
g4_spillover_residual_leader_lag1,1,0.007237281738851679,0.44573007331204967,0.6595466439442971,1650
g4_spillover_residual_leader_lag1,2,-0.0034687043245088273,0.43830730820079294,-0.3212677808664736,1648
g4_spillover_residual_leader_lag1,3,-0.006061940856060762,0.4426444697828622,-0.5556119367798967,1646
g4_spillover_residual_leader_lag1,5,-0.014789301614071182,0.4376482607482004,-1.3693328773063105,1642
g5_spillover_3leader_lag1_volscaled,1,-0.0007690982424746492,0.3371571430556853,-0.09265981438468447,1650
g5_spillover_3leader_lag1_volscaled,2,0.0009502954570113507,0.33356158127269464,0.11565415310971809,1648
g5_spillover_3leader_lag1_volscaled,3,0.005908706740347928,0.3398219077426513,0.7054333337513143,1646
g5_spillover_3leader_lag1_volscaled,5,-0.0012461734675337217,0.33228173140218176,-0.15197026193842872,1642
g6_spillover_3leader_orthogonalized,1,-0.002127530616752652,0.3666631047751818,-0.235695113749379,1650
g6_spillover_3leader_orthogonalized,2,-0.005761276785429293,0.3672937321987334,-0.636771806823733,1648
g6_spillover_3leader_orthogonalized,3,-0.003766898781505399,0.3689265464461137,-0.414246606788766,1646
g6_spillover_3leader_orthogonalized,5,-0.007676898222951815,0.37251268870335585,-0.8350861652767081,1642
g7_spillover_signonly_3leader,1,0.006988976926350232,0.4407244341199898,0.6441521341125088,1650
g7_spillover_signonly_3leader,2,0.0030431242555964146,0.4379413163096445,0.28208654391780086,1648
g7_spillover_signonly_3leader,3,0.0010564987005866782,0.43977537971662345,0.0974659612664231,1646
g7_spillover_signonly_3leader,5,-0.006254145334371646,0.4368399273833684,-0.580139210174343,1642
g8_kitchen_sink_rank,1,0.004868408443779386,0.42589201868104676,0.46433292280522664,1650
g8_kitchen_sink_rank,2,0.0014772253169060942,0.42413486814947193,0.1413908705398438,1648
g8_kitchen_sink_rank,3,-0.0011208805280799449,0.42624089364684953,-0.10668887273185783,1646
g8_kitchen_sink_rank,5,-0.0070843014294398885,0.4197291046747611,-0.6839345182111326,1642
