phase,year,sharpe
0,2019,
0,2020,1.0909218763600252
0,2021,0.9245052581463664
0,2022,-0.1116088351373483
0,2023,1.4645493527025262
0,2024,-0.18057406582740826
0,2025,1.0878391788616568
0,2026,
1,2019,
1,2020,1.5027993843881
1,2021,0.32457229268932086
1,2022,-0.23333467956562168
1,2023,1.4235944758126482
1,2024,-0.6403301662429958
1,2025,-0.18594524383429814
1,2026,
2,2019,
2,2020,2.337634138026059
2,2021,0.715821224172764
2,2022,0.09291246267069568
2,2023,1.8150030836340767
2,2024,-0.10846714354039358
2,2025,0.7935500569566695
2,2026,
3,2019,
3,2020,0.8782060602234832
3,2021,1.7112276320490298
3,2022,-0.917968537616447
3,2023,1.6128796275585497
3,2024,-1.1651746709454969
3,2025,0.28318612852209696
3,2026,
4,2019,
4,2020,1.7927717491495203
4,2021,0.1237922506697464
4,2022,-2.05202352825689
4,2023,0.9742839373781661
4,2024,-1.1086509318448523
4,2025,0.2971049168496238
4,2026,
5,2019,
5,2020,2.323207149928698
5,2021,-0.3884574362652533
5,2022,-1.4925555087135876
5,2023,2.075750061758436
5,2024,0.9431764448663161
5,2025,0.7301516317501744
5,2026,
6,2019,
6,2020,1.9832183555608505
6,2021,-0.16825385331968123
6,2022,-1.7765958396789339
6,2023,2.3468687644739266
6,2024,0.7118631325728703
6,2025,0.49288075904033013
6,2026,
7,2019,
7,2020,1.4236170916140876
7,2021,-0.7594231510562588
7,2022,-1.1013233047347732
7,2023,2.253306601342318
7,2024,1.917722290300634
7,2025,0.4077778045126997
7,2026,
8,2019,
8,2020,1.6216357036859572
8,2021,-0.4472294720633412
8,2022,-0.837761958575769
8,2023,2.554176739399169
8,2024,1.0960716864672329
8,2025,1.1195596614100607
8,2026,
9,2019,
9,2020,1.0429082099187397
9,2021,-0.6542405330461034
9,2022,-1.147439509238775
9,2023,1.795813120519038
9,2024,0.3428771395610134
9,2025,0.8642112502626832
9,2026,
10,2019,
10,2020,1.0309902824439041
10,2021,-0.5933419622545311
10,2022,-0.4690408716129352
10,2023,1.5782153488289943
10,2024,0.47750398672144095
10,2025,0.9221742080698127
10,2026,
11,2019,
11,2020,0.6614590811605442
11,2021,-0.7320673355118825
11,2022,-0.8812810447239972
11,2023,0.7893033490487065
11,2024,-0.23802225542572059
11,2025,0.887511135901868
11,2026,
12,2019,
12,2020,-0.08978950276422426
12,2021,-0.9621170910372453
12,2022,-0.8447046768838998
12,2023,0.7267879164724699
12,2024,0.18670390976010112
12,2025,0.3716257454775188
12,2026,
13,2019,
13,2020,0.9736261705841691
13,2021,-0.2611170006510474
13,2022,-0.08979161241156447
13,2023,0.3740482060789762
13,2024,1.4607469705575669
13,2025,0.2942837270054683
13,2026,
14,2019,
14,2020,1.5720272001528086
14,2021,-0.5599054903428557
14,2022,-0.2818645729038613
14,2023,0.68387599827208
14,2024,0.807128564077839
14,2025,-0.10646568683838092
14,2026,
15,2019,
15,2020,1.4783353378057231
15,2021,-0.4660935339988212
15,2022,0.06344103676262819
15,2023,0.6966071339411072
15,2024,1.304809157233257
15,2025,-0.07268102169600962
15,2026,
16,2019,
16,2020,0.3509331720102301
16,2021,-0.5558569626788679
16,2022,0.36468260745246744
16,2023,0.6638345831106852
16,2024,0.0979092322675229
16,2025,0.19393249193570625
16,2026,
17,2019,
17,2020,0.410763995105374
17,2021,0.14680633199777782
17,2022,-0.29839644222601625
17,2023,1.1096425540270007
17,2024,0.14063805725339237
17,2025,0.9355948092145775
17,2026,
18,2019,
18,2020,0.5434128095724098
18,2021,-0.08417461058685222
18,2022,-0.8042996118140302
18,2023,1.2772020348623185
18,2024,-0.9250490431235332
18,2025,1.1770867154854812
18,2026,
19,2019,
19,2020,0.29138961908369077
19,2021,-0.2941538537678469
19,2022,-0.394462073178078
19,2023,1.8421135599124834
19,2024,0.21672950766727905
19,2025,0.43629028528247593
19,2026,
20,2019,
20,2020,0.5469590364984207
20,2021,0.06184689765306721
20,2022,-0.25966159241130654
20,2023,0.9615510397463545
20,2024,-0.2834613696660509
20,2025,0.377854560419361
20,2026,
