label,mode,n_weeks,ann_ret,ann_vol,sharpe,max_dd,worst_year,worst_year_label,sh_2020,cum_2020,sh_2021,cum_2021,sh_2022,cum_2022,sh_2023,cum_2023,sh_2024,cum_2024,sh_2025,cum_2025,sh_2026,cum_2026
anchor,standalone,301,0.193,0.1452,1.329,-0.1186,0.951,2024,2.815,0.2412,1.668,0.1937,1.39,0.3868,1.466,0.1401,0.951,0.0961,0.981,0.0923,1.138,0.0281
ivol_v2,standalone,301,0.1196,0.0527,2.269,-0.0647,0.9,2022,2.748,0.145,4.589,0.2502,0.9,0.0386,1.901,0.1064,1.784,0.0275,3.593,0.2422,-7.285,-0.0567
ensemble,standalone,301,0.1563,0.0782,1.998,-0.0483,1.248,2024,3.775,0.1935,3.38,0.2239,1.541,0.2094,1.989,0.1244,1.248,0.0629,2.464,0.1664,-1.176,-0.0148
v25,standalone,301,0.22,0.1301,1.691,-0.0762,0.925,2022,2.137,0.2994,1.59,0.2197,0.925,0.0797,1.763,0.2351,1.806,0.2477,2.217,0.3105,-0.555,-0.0169
csi,standalone,301,0.0186,0.1738,0.107,-0.4163,-1.125,2022,1.0,0.2017,-0.027,-0.0143,-1.125,-0.1802,-0.805,-0.0937,-0.263,-0.0709,2.173,0.2749,-0.492,-0.0204
ens0.0_v251.0,two-way,301,0.22,0.1301,1.691,-0.0762,0.925,2022,2.137,0.2994,1.59,0.2197,0.925,0.0797,1.763,0.2351,1.806,0.2477,2.217,0.3105,-0.555,-0.0169
ens0.1_v250.9,two-way,301,0.2137,0.1193,1.791,-0.069,1.131,2022,2.284,0.2895,1.722,0.2209,1.131,0.093,1.827,0.2243,1.844,0.2288,2.298,0.2961,-0.617,-0.0165
ens0.2_v250.8,two-way,301,0.2073,0.109,1.902,-0.0619,1.327,2022,2.461,0.2794,1.874,0.2219,1.327,0.1062,1.898,0.2134,1.886,0.21,2.387,0.2817,-0.693,-0.0161
ens0.3_v250.7,two-way,301,0.2009,0.0994,2.021,-0.0547,1.49,2022,2.675,0.2691,2.048,0.2227,1.49,0.1194,1.974,0.2025,1.93,0.1913,2.481,0.2673,-0.789,-0.0158
ens0.4_v250.6,two-way,301,0.1945,0.0909,2.141,-0.0476,1.603,2022,2.934,0.2587,2.247,0.2234,1.603,0.1325,2.054,0.1915,1.975,0.1727,2.578,0.2529,-0.907,-0.0156
ens0.5_v250.5,two-way,301,0.1882,0.0836,2.25,-0.0404,1.662,2022,3.243,0.2482,2.47,0.2239,1.662,0.1455,2.133,0.1805,2.013,0.1542,2.671,0.2385,-1.049,-0.0153
ens0.6_v250.4,two-way,301,0.1818,0.0781,2.328,-0.038,1.677,2022,3.596,0.2375,2.712,0.2242,1.677,0.1585,2.2,0.1693,2.03,0.1357,2.747,0.2241,-1.208,-0.0151
ens0.7_v250.3,two-way,301,0.1754,0.0745,2.353,-0.0362,1.661,2022,3.948,0.2267,2.958,0.2244,1.661,0.1713,2.239,0.1582,1.997,0.1174,2.787,0.2096,-1.345,-0.015
ens0.8_v250.2,two-way,301,0.169,0.0734,2.304,-0.0344,1.627,2022,4.186,0.2157,3.179,0.2244,1.627,0.1841,2.23,0.147,1.872,0.0991,2.765,0.1952,-1.397,-0.0149
ens0.9_v250.1,two-way,301,0.1626,0.0746,2.18,-0.0378,1.585,2022,4.146,0.2047,3.333,0.2242,1.585,0.1968,2.149,0.1357,1.616,0.0809,2.659,0.1808,-1.327,-0.0148
ens1.0_v250.0,two-way,301,0.1563,0.0782,1.998,-0.0483,1.248,2024,3.775,0.1935,3.38,0.2239,1.541,0.2094,1.989,0.1244,1.248,0.0629,2.464,0.1664,-1.176,-0.0148
three_way_equal,three-way-equal,301,0.1775,0.0755,2.352,-0.0368,1.668,2022,3.836,0.2303,2.877,0.2243,1.668,0.1671,2.231,0.1619,2.016,0.1235,2.779,0.2144,-1.305,-0.015
three_way_volparity,three-way-volparity,301,0.1576,0.0579,2.724,-0.0313,1.836,2022,3.986,0.201,3.948,0.2344,1.836,0.1184,2.439,0.1439,2.267,0.0912,3.29,0.2271,-4.03,-0.0302
