yahoo,n_yahoo,n_tushare,n_common,max_ret_diff_abs,median_ret_diff_abs,n_days_diff_gt_1bp,note
510300.SS,262,263,262,0.02532450994399471,3.584454888461153e-08,2,mismatch_check
510500.SS,262,263,262,0.007451185975662966,3.333065534683044e-08,1,mismatch_check
510050.SS,262,263,262,0.026080025877884383,3.090137334904597e-08,1,mismatch_check
159915.SZ,262,263,262,1.0326702115648345e-07,2.1662694749124967e-08,0,ok
510180.SS,262,263,262,0.01524389874512122,3.906755763338765e-08,5,mismatch_check
159949.SZ,262,263,262,9.342116191746186e-08,2.4779925889006904e-08,0,ok
588000.SS,262,263,262,1.082177660816086e-07,2.712044666619562e-08,0,ok
588080.SS,262,263,262,0.009268034543636339,3.196919684533839e-08,1,mismatch_check
512100.SS,137,263,137,0.012323756605048364,2.8270188912049576e-08,1,mismatch_check
510880.SS,262,263,262,0.04420553775201763,3.2374756653297254e-08,1,mismatch_check
512880.SS,262,263,262,1.0701283392755556e-07,3.068504916825532e-08,0,ok
512660.SS,262,263,262,9.677836287913522e-08,3.002647819272397e-08,0,ok
512170.SS,262,263,262,7.826872239213856e-08,2.433944379376385e-08,0,ok
512760.SS,262,263,262,1.0025069208108306e-07,2.2619022876924078e-08,0,ok
515030.SS,262,263,262,9.001244027917465e-08,2.3831927320472346e-08,0,ok
512290.SS,262,263,262,1.0030246910819329e-07,2.6497009697479257e-08,0,ok
515050.SS,137,263,137,9.738073036835715e-08,3.143232996105638e-08,0,ok
512690.SS,262,263,262,9.435886472175525e-08,2.658922471088232e-08,0,ok
512980.SS,262,263,262,9.682465051952249e-08,2.1769409830341147e-08,0,ok
518880.SS,262,263,262,9.712165771613712e-08,2.318626379782529e-08,0,ok
512480.SS,262,263,262,1.063092902597873e-07,2.77315763685948e-08,0,ok
159819.SZ,262,263,262,9.395728506333967e-08,2.272688548465851e-08,0,ok
515880.SS,262,263,262,1.0030246910819329e-07,2.8023238840546583e-08,0,ok
159890.SZ,262,263,262,9.220655738939598e-08,2.5317073770736442e-08,0,ok
159869.SZ,262,263,262,1.0173895836906865e-07,2.6387836915553464e-08,0,ok
159857.SZ,262,263,262,8.534684270422588e-08,2.3080262145924735e-08,0,ok
159755.SZ,262,263,262,9.742474949003821e-08,2.42247997217504e-08,0,ok
512010.SS,262,263,262,7.036311933106276e-08,2.2235433494444123e-08,0,ok
159992.SZ,263,263,263,7.782008282219977e-08,2.1370759606398337e-08,0,ok
159980.SZ,262,263,262,1.0000035310930855e-07,1.9067367684755254e-08,0,ok
515220.SS,262,263,262,0.036757387176014955,2.9256606248750927e-08,1,mismatch_check
515210.SS,262,263,262,0.04116610187484848,3.01293723303786e-08,1,mismatch_check
