yahoo,name,list_date,n_yahoo_bars,approx_trading_days_since_list,core_qualifies_1500,would_qualify_per_tushare
510300.SS,沪深300ETF华泰柏瑞,20120528,1773,3510,True,True
510500.SS,中证500ETF南方,20130315,1773,3309,True,True
510050.SS,上证50ETF华夏,20050223,1773,5341,True,True
159915.SZ,创业板ETF易方达,20111209,1773,3628,True,True
510180.SS,上证180ETF华安,20060518,1773,5031,True,True
159949.SZ,创业板50ETF华安,20160722,1773,2464,True,True
588000.SS,科创50ETF华夏,20201116,1330,1374,False,False
588080.SS,科创50ETF易方达,20201116,1333,1374,False,False
512100.SS,中证1000ETF南方,20161104,137,2391,False,True
510880.SS,红利ETF华泰柏瑞,20070118,1773,4861,True,True
512880.SS,证券ETF国泰,20160808,1773,2452,True,True
512660.SS,军工ETF国泰,20160808,1773,2452,True,True
512170.SS,医疗ETF华宝,20190617,1686,1732,True,True
512760.SS,芯片ETF国泰,20190612,1676,1735,True,True
515030.SS,新能源车ETF华夏,20200304,1497,1552,False,True
512290.SS,生物医药ETF国泰,20190520,1691,1751,True,True
515050.SS,通信ETF华夏,20191016,137,1648,False,True
512690.SS,酒ETF鹏华,20190506,1700,1761,True,True
512980.SS,传媒ETF广发,20180119,1773,2087,True,True
518880.SS,黄金ETF华安,20130729,1773,3215,True,True
512480.SS,半导体ETF国联安,20190612,1677,1735,True,True
159819.SZ,人工智能ETF易方达,20200923,1365,1411,False,False
515880.SS,通信ETF国泰,20190906,1612,1676,True,True
159890.SZ,云计算ETF招商,20210402,1233,1280,False,False
159869.SZ,游戏ETF华夏,20210305,1252,1299,False,False
159857.SZ,光伏ETF,20210224,1261,1305,False,False
159755.SZ,电池ETF广发,20210624,1178,1222,False,False
512010.SS,医药ETF易方达,20131028,1773,3153,True,True
159992.SZ,创新药ETF,20200410,1445,1526,False,True
159980.SZ,有色ETF大成,20191224,1548,1601,True,True
515220.SS,煤炭ETF国泰,20200302,1501,1553,True,True
515210.SS,钢铁ETF国泰,20200302,1501,1553,True,True
