yahoo,tushare,name,fund_type,list_date,delist_date,market,exists_in_tushare
510300.SS,510300.SH,沪深300ETF华泰柏瑞,股票型,20120528,,E,True
510500.SS,510500.SH,中证500ETF南方,股票型,20130315,,E,True
510050.SS,510050.SH,上证50ETF华夏,股票型,20050223,,E,True
159915.SZ,159915.SZ,创业板ETF易方达,股票型,20111209,,E,True
510180.SS,510180.SH,上证180ETF华安,股票型,20060518,,E,True
159949.SZ,159949.SZ,创业板50ETF华安,股票型,20160722,,E,True
588000.SS,588000.SH,科创50ETF华夏,股票型,20201116,,E,True
588080.SS,588080.SH,科创50ETF易方达,股票型,20201116,,E,True
512100.SS,512100.SH,中证1000ETF南方,股票型,20161104,,E,True
510880.SS,510880.SH,红利ETF华泰柏瑞,股票型,20070118,,E,True
512880.SS,512880.SH,证券ETF国泰,股票型,20160808,,E,True
512660.SS,512660.SH,军工ETF国泰,股票型,20160808,,E,True
512170.SS,512170.SH,医疗ETF华宝,股票型,20190617,,E,True
512760.SS,512760.SH,芯片ETF国泰,股票型,20190612,,E,True
515030.SS,515030.SH,新能源车ETF华夏,股票型,20200304,,E,True
512290.SS,512290.SH,生物医药ETF国泰,股票型,20190520,,E,True
515050.SS,515050.SH,通信ETF华夏,股票型,20191016,,E,True
512690.SS,512690.SH,酒ETF鹏华,股票型,20190506,,E,True
512980.SS,512980.SH,传媒ETF广发,股票型,20180119,,E,True
518880.SS,518880.SH,黄金ETF华安,商品型,20130729,,E,True
512480.SS,512480.SH,半导体ETF国联安,股票型,20190612,,E,True
159819.SZ,159819.SZ,人工智能ETF易方达,股票型,20200923,,E,True
515880.SS,515880.SH,通信ETF国泰,股票型,20190906,,E,True
159890.SZ,159890.SZ,云计算ETF招商,股票型,20210402,,E,True
159869.SZ,159869.SZ,游戏ETF华夏,股票型,20210305,,E,True
159857.SZ,159857.SZ,光伏ETF,股票型,20210224,,E,True
159755.SZ,159755.SZ,电池ETF广发,股票型,20210624,,E,True
512010.SS,512010.SH,医药ETF易方达,股票型,20131028,,E,True
159992.SZ,159992.SZ,创新药ETF,股票型,20200410,,E,True
159980.SZ,159980.SZ,有色ETF大成,商品型,20191224,,E,True
515220.SS,515220.SH,煤炭ETF国泰,股票型,20200302,,E,True
515210.SS,515210.SH,钢铁ETF国泰,股票型,20200302,,E,True
