expression,cost_bps,sharpe,ann_return
m1_riskadj_mom_60_top5,0,0.115,0.029
m1_riskadj_mom_60_top5,5,0.099,0.025
m1_riskadj_mom_60_top5,10,0.083,0.0211
m1_riskadj_mom_60_top5,20,0.052,0.0132
m2_riskadj_mom_60_top3,0,-0.014,-0.0038
m2_riskadj_mom_60_top3,5,-0.029,-0.008
m2_riskadj_mom_60_top3,10,-0.044,-0.0122
m2_riskadj_mom_60_top3,20,-0.074,-0.0206
m3_riskadj_mom_120_top5,0,0.401,0.0981
m3_riskadj_mom_120_top5,5,0.389,0.0952
m3_riskadj_mom_120_top5,10,0.377,0.0922
m3_riskadj_mom_120_top5,20,0.353,0.0862
m4_riskadj_mom_20_top5,0,0.381,0.0922
m4_riskadj_mom_20_top5,5,0.357,0.0864
m4_riskadj_mom_20_top5,10,0.333,0.0806
m4_riskadj_mom_20_top5,20,0.285,0.0689
m5_riskadj_mom_60_top5_ma50_gate,0,0.206,0.0373
m5_riskadj_mom_60_top5_ma50_gate,5,0.192,0.0347
m5_riskadj_mom_60_top5_ma50_gate,10,0.178,0.0322
m5_riskadj_mom_60_top5_ma50_gate,20,0.15,0.0271
m6_riskadj_mom_60_skip5_top5,0,0.285,0.0689
m6_riskadj_mom_60_skip5_top5,5,0.269,0.065
m6_riskadj_mom_60_skip5_top5,10,0.253,0.0612
m6_riskadj_mom_60_skip5_top5,20,0.222,0.0535
m7_plain_mom_60_top5,0,0.355,0.1054
m7_plain_mom_60_top5,5,0.343,0.1019
m7_plain_mom_60_top5,10,0.331,0.0984
m7_plain_mom_60_top5,20,0.308,0.0915
m8_sortino_mom_60_top5,0,0.191,0.0487
m8_sortino_mom_60_top5,5,0.176,0.0448
m8_sortino_mom_60_top5,10,0.16,0.0408
m8_sortino_mom_60_top5,20,0.129,0.033
