expression,year,sharpe_net
m1_riskadj_mom_60_top5,2019,0.537
m1_riskadj_mom_60_top5,2020,1.3
m1_riskadj_mom_60_top5,2021,-0.35
m1_riskadj_mom_60_top5,2022,-1.054
m1_riskadj_mom_60_top5,2023,0.059
m1_riskadj_mom_60_top5,2024,0.715
m1_riskadj_mom_60_top5,2025,0.435
m1_riskadj_mom_60_top5,2026,-2.151
m2_riskadj_mom_60_top3,2019,0.379
m2_riskadj_mom_60_top3,2020,1.097
m2_riskadj_mom_60_top3,2021,-0.148
m2_riskadj_mom_60_top3,2022,-0.641
m2_riskadj_mom_60_top3,2023,0.216
m2_riskadj_mom_60_top3,2024,0.242
m2_riskadj_mom_60_top3,2025,0.221
m2_riskadj_mom_60_top3,2026,-2.886
m3_riskadj_mom_120_top5,2019,0.705
m3_riskadj_mom_120_top5,2020,1.641
m3_riskadj_mom_120_top5,2021,-0.943
m3_riskadj_mom_120_top5,2022,-1.127
m3_riskadj_mom_120_top5,2023,0.63
m3_riskadj_mom_120_top5,2024,0.939
m3_riskadj_mom_120_top5,2025,1.16
m3_riskadj_mom_120_top5,2026,-0.421
m4_riskadj_mom_20_top5,2019,1.131
m4_riskadj_mom_20_top5,2020,0.28
m4_riskadj_mom_20_top5,2021,0.839
m4_riskadj_mom_20_top5,2022,-0.571
m4_riskadj_mom_20_top5,2023,0.531
m4_riskadj_mom_20_top5,2024,0.423
m4_riskadj_mom_20_top5,2025,1.402
m4_riskadj_mom_20_top5,2026,-2.032
m5_riskadj_mom_60_top5_ma50_gate,2019,-0.203
m5_riskadj_mom_60_top5_ma50_gate,2020,2.144
m5_riskadj_mom_60_top5_ma50_gate,2021,1.039
m5_riskadj_mom_60_top5_ma50_gate,2022,-2.733
m5_riskadj_mom_60_top5_ma50_gate,2023,0.121
m5_riskadj_mom_60_top5_ma50_gate,2024,0.106
m5_riskadj_mom_60_top5_ma50_gate,2025,0.803
m5_riskadj_mom_60_top5_ma50_gate,2026,-1.293
m6_riskadj_mom_60_skip5_top5,2019,0.465
m6_riskadj_mom_60_skip5_top5,2020,1.957
m6_riskadj_mom_60_skip5_top5,2021,-0.398
m6_riskadj_mom_60_skip5_top5,2022,-1.172
m6_riskadj_mom_60_skip5_top5,2023,0.442
m6_riskadj_mom_60_skip5_top5,2024,0.592
m6_riskadj_mom_60_skip5_top5,2025,0.229
m6_riskadj_mom_60_skip5_top5,2026,-0.375
m7_plain_mom_60_top5,2019,0.477
m7_plain_mom_60_top5,2020,1.594
m7_plain_mom_60_top5,2021,-0.103
m7_plain_mom_60_top5,2022,-0.997
m7_plain_mom_60_top5,2023,0.439
m7_plain_mom_60_top5,2024,0.222
m7_plain_mom_60_top5,2025,1.169
m7_plain_mom_60_top5,2026,-1.134
m8_sortino_mom_60_top5,2019,0.502
m8_sortino_mom_60_top5,2020,1.321
m8_sortino_mom_60_top5,2021,0.037
m8_sortino_mom_60_top5,2022,-0.985
m8_sortino_mom_60_top5,2023,-0.035
m8_sortino_mom_60_top5,2024,0.859
m8_sortino_mom_60_top5,2025,0.649
m8_sortino_mom_60_top5,2026,-2.256
