expression,cost_bps,sharpe,ann_return
m1_R3_lowvol_60_bot20,0,0.464,0.0678
m1_R3_lowvol_60_bot20,5,0.458,0.067
m1_R3_lowvol_60_bot20,10,0.453,0.0663
m1_R3_lowvol_60_bot20,20,0.443,0.0648
m2_R3_lowvol_120_bot20,0,0.314,0.0457
m2_R3_lowvol_120_bot20,5,0.311,0.0452
m2_R3_lowvol_120_bot20,10,0.308,0.0447
m2_R3_lowvol_120_bot20,20,0.302,0.0438
m3_R3_lowvol_60_bot10,0,0.559,0.0808
m3_R3_lowvol_60_bot10,5,0.549,0.0793
m3_R3_lowvol_60_bot10,10,0.539,0.0778
m3_R3_lowvol_60_bot10,20,0.519,0.0749
m4_R3_lowvol_60_x_uptrend_bot20,0,0.402,0.0515
m4_R3_lowvol_60_x_uptrend_bot20,5,0.39,0.05
m4_R3_lowvol_60_x_uptrend_bot20,10,0.379,0.0485
m4_R3_lowvol_60_x_uptrend_bot20,20,0.355,0.0455
m5_R3_lowvol_60_bot20_ma200_gate,0,0.26,0.0282
m5_R3_lowvol_60_bot20_ma200_gate,5,0.252,0.0273
m5_R3_lowvol_60_bot20_ma200_gate,10,0.244,0.0264
m5_R3_lowvol_60_bot20_ma200_gate,20,0.227,0.0246
m6_R3_high_vol_60_top20,0,0.368,0.0885
m6_R3_high_vol_60_top20,5,0.364,0.0874
m6_R3_high_vol_60_top20,10,0.359,0.0864
m6_R3_high_vol_60_top20,20,0.351,0.0843
m7_R3_lowbeta_60_bot20,0,0.638,0.0905
m7_R3_lowbeta_60_bot20,5,0.631,0.0894
m7_R3_lowbeta_60_bot20,10,0.623,0.0884
m7_R3_lowbeta_60_bot20,20,0.609,0.0864
m8_R3_ew_baseline_all,0,0.571,0.1071
m8_R3_ew_baseline_all,5,0.571,0.107
m8_R3_ew_baseline_all,10,0.57,0.1069
m8_R3_ew_baseline_all,20,0.569,0.1067
