expression,year,sharpe_net
m1_R5_lowbeta_bot20_ma200_gate,2019,1.307
m1_R5_lowbeta_bot20_ma200_gate,2020,0.179
m1_R5_lowbeta_bot20_ma200_gate,2021,0.609
m1_R5_lowbeta_bot20_ma200_gate,2022,0.0
m1_R5_lowbeta_bot20_ma200_gate,2023,0.021
m1_R5_lowbeta_bot20_ma200_gate,2024,0.258
m1_R5_lowbeta_bot20_ma200_gate,2025,1.031
m1_R5_lowbeta_bot20_ma200_gate,2026,0.851
m2_R5_lowbeta_bot20_ma100_gate,2019,0.171
m2_R5_lowbeta_bot20_ma100_gate,2020,0.82
m2_R5_lowbeta_bot20_ma100_gate,2021,0.276
m2_R5_lowbeta_bot20_ma100_gate,2022,-1.239
m2_R5_lowbeta_bot20_ma100_gate,2023,0.115
m2_R5_lowbeta_bot20_ma100_gate,2024,0.673
m2_R5_lowbeta_bot20_ma100_gate,2025,1.323
m2_R5_lowbeta_bot20_ma100_gate,2026,0.125
m3_R5_lowbeta_bot20_pos_mom,2019,-0.41
m3_R5_lowbeta_bot20_pos_mom,2020,0.501
m3_R5_lowbeta_bot20_pos_mom,2021,0.5
m3_R5_lowbeta_bot20_pos_mom,2022,-2.674
m3_R5_lowbeta_bot20_pos_mom,2023,0.688
m3_R5_lowbeta_bot20_pos_mom,2024,0.167
m3_R5_lowbeta_bot20_pos_mom,2025,1.422
m3_R5_lowbeta_bot20_pos_mom,2026,-1.333
m4_R5_lowbeta_bot30_ma200_gate,2019,1.205
m4_R5_lowbeta_bot30_ma200_gate,2020,0.524
m4_R5_lowbeta_bot30_ma200_gate,2021,0.309
m4_R5_lowbeta_bot30_ma200_gate,2022,0.0
m4_R5_lowbeta_bot30_ma200_gate,2023,-0.386
m4_R5_lowbeta_bot30_ma200_gate,2024,0.02
m4_R5_lowbeta_bot30_ma200_gate,2025,1.386
m4_R5_lowbeta_bot30_ma200_gate,2026,0.62
m5_R5_inv_vol_within_lowbeta_bot30,2019,0.422
m5_R5_inv_vol_within_lowbeta_bot30,2020,1.027
m5_R5_inv_vol_within_lowbeta_bot30,2021,0.628
m5_R5_inv_vol_within_lowbeta_bot30,2022,-1.289
m5_R5_inv_vol_within_lowbeta_bot30,2023,0.343
m5_R5_inv_vol_within_lowbeta_bot30,2024,1.293
m5_R5_inv_vol_within_lowbeta_bot30,2025,1.462
m5_R5_inv_vol_within_lowbeta_bot30,2026,0.638
m6_R5_ew_with_cash_below_ma200,2019,1.654
m6_R5_ew_with_cash_below_ma200,2020,0.741
m6_R5_ew_with_cash_below_ma200,2021,0.23
m6_R5_ew_with_cash_below_ma200,2022,-1.174
m6_R5_ew_with_cash_below_ma200,2023,-0.716
m6_R5_ew_with_cash_below_ma200,2024,0.202
m6_R5_ew_with_cash_below_ma200,2025,1.302
m6_R5_ew_with_cash_below_ma200,2026,0.872
m7_R5_lowbeta_bot15_ma200_gate,2019,1.311
m7_R5_lowbeta_bot15_ma200_gate,2020,0.162
m7_R5_lowbeta_bot15_ma200_gate,2021,0.878
m7_R5_lowbeta_bot15_ma200_gate,2022,0.0
m7_R5_lowbeta_bot15_ma200_gate,2023,0.409
m7_R5_lowbeta_bot15_ma200_gate,2024,0.364
m7_R5_lowbeta_bot15_ma200_gate,2025,0.592
m7_R5_lowbeta_bot15_ma200_gate,2026,1.219
m8_R5_ew_baseline,2019,1.793
m8_R5_ew_baseline,2020,1.075
m8_R5_ew_baseline,2021,0.304
m8_R5_ew_baseline,2022,-1.176
m8_R5_ew_baseline,2023,-0.346
m8_R5_ew_baseline,2024,0.659
m8_R5_ew_baseline,2025,1.302
m8_R5_ew_baseline,2026,0.872
